FIPS,HomePriceGrowth19to20,HomePriceGrowth18to19,HomePriceGrowth17to18,HomePriceGrowth17to19,HomePrices2019,Population,TotalCasesPercent,TotalDeathsPercentPopulation,MaskUse,ClintonVoteShare,StateLocalTax,JanAvgTemperature,RuralUrbanCode
5055,0.041,0.045,0.048,0.095,0.111,0.045,0.125,0.002,0.643,0.210,0.113,41.9,4
5057,0.016,0.053,0.048,0.103,0.067,0.022,0.080,0.001,0.733,0.337,0.113,46.5,6
5059,0.021,0.040,0.034,0.075,0.099,0.034,0.136,0.002,0.776,0.264,0.113,45,6
5061,-0.024,0.052,0.067,0.122,0.085,0.013,0.109,0.002,0.705,0.289,0.113,45.3,6
5063,0.038,0.051,0.046,0.099,0.099,0.038,0.094,0.003,0.619,0.212,0.113,41.8,7
5065,0.051,0.046,0.072,0.121,0.08,0.014,0.118,0.003,0.660,0.204,0.113,40.3,9
5067,0.016,0.057,0.078,0.140,0.056,0.017,0.186,0.002,0.647,0.307,0.113,42.4,6
5069,0.025,0.044,0.027,0.073,0.058,0.067,0.124,0.002,0.750,0.609,0.113,45.6,3
5071,0.046,0.046,0.062,0.111,0.103,0.027,0.097,0.001,0.549,0.266,0.113,41.1,7
5073,0.110,0.009,0.014,0.023,0.039,0.007,0.072,0.001,0.720,0.361,0.113,47.8,8
5075,0.053,0.038,0.058,0.098,0.065,0.016,0.119,0.002,0.635,0.222,0.113,41.2,6
5077,0.062,0.050,0.049,0.101,0.039,0.009,0.183,0.004,0.670,0.573,0.113,45.8,7
5079,-0.019,0.025,0.090,0.117,0.078,0.013,0.237,0.003,0.755,0.327,0.113,46.8,3
5081,0.026,0.033,0.054,0.089,0.083,0.012,0.088,0.003,0.700,0.267,0.113,47.2,3
5083,0.108,-0.018,0.126,0.107,0.077,0.021,0.096,0.001,0.622,0.217,0.113,42.8,6
5085,0.046,0.018,0.027,0.045,0.141,0.073,0.086,0.001,0.771,0.209,0.113,44.4,2
5087,0.055,0.055,0.070,0.129,0.111,0.017,0.083,0.001,0.678,0.232,0.113,39.6,2
5089,0.057,0.048,0.023,0.073,0.12,0.017,0.054,0.002,0.598,0.202,0.113,39.5,9
5091,0.026,0.043,0.051,0.096,0.103,0.043,0.082,0.001,0.706,0.266,0.113,48,3
5093,0.032,0.056,0.067,0.126,0.074,0.041,0.133,0.003,0.724,0.429,0.113,43.6,4
5095,0.038,0.059,0.082,0.147,0.059,0.007,0.116,0.002,0.677,0.455,0.113,45.7,7
5097,0.027,0.031,0.111,0.145,0.102,0.009,0.077,0.003,0.687,0.210,0.113,43.9,8
5099,0.099,0.035,0.043,0.079,0.042,0.008,0.090,0.003,0.725,0.356,0.113,46.9,7
5101,0.015,0.033,0.032,0.066,0.116,0.008,0.086,0.003,0.669,0.186,0.113,39.5,9
5103,0.023,0.063,0.025,0.090,0.051,0.023,0.088,0.002,0.691,0.435,0.113,46.8,7
5105,0.034,0.066,0.080,0.152,0.088,0.01,0.072,0.001,0.771,0.244,0.113,43.6,2
5107,-0.004,-0.002,-0.056,-0.058,0.03,0.018,0.093,0.002,0.753,0.620,0.113,46.6,6
