FIPS,HomePriceGrowth19to20,TotalDeathsPercentPopulation,UrbanDummy,TotalDeathsPercentPopulation X UrbanDummy,HomePriceGrowth18to19,ClintonVoteShare,JanAvgTemperature
06091,0.036,0.000,0,0.000,0.013,0.328,35.6 
06093,0.028,0.000,0,0.000,0.013,0.353,35.7 
06095,0.079,0.000,1,0.000,0.005,0.616,49.1 
06097,0.089,0.001,1,0.001,-0.026,0.694,49.1 
06099,0.104,0.002,1,0.002,0.039,0.474,48.5 
06101,0.069,0.001,0,0.000,0.047,0.390,48.1 
06103,0.060,0.001,0,0.000,0.073,0.285,44.5 
06105,0.020,0.000,0,0.000,0.004,0.389,39.6 
06107,0.126,0.001,1,0.001,0.025,0.424,40.3 
06109,-0.009,0.001,0,0.000,0.000,0.357,38.8 
06111,0.070,0.001,1,0.001,0.012,0.553,49.4 
06113,0.102,0.001,1,0.001,-0.013,0.667,48.6 
06115,0.094,0.000,0,0.000,0.067,0.344,46.7 
08001,0.092,0.001,1,0.001,0.009,0.499,33.3 
08003,0.023,0.002,0,0.000,0.019,0.460,18.5 
08005,0.080,0.001,1,0.001,0.022,0.528,33.0 
08007,0.041,0.000,1,0.000,0.045,0.341,24.8 
08009,0.048,0.001,0,0.000,0.040,0.131,35.6 
08011,0.089,0.004,0,0.000,0.030,0.306,35.3 
08013,0.057,0.001,1,0.001,0.018,0.703,29.8 
08014,0.063,0.001,1,0.001,0.010,0.524,34.6 
08015,0.049,0.001,0,0.000,0.045,0.434,19.7 
08017,0.017,0.003,0,0.000,0.052,0.120,34.2 
08019,0.045,0.000,1,0.000,0.048,0.465,22.5 
08021,0.045,0.000,0,0.000,0.031,0.440,19.6 
08023,0.069,0.001,0,0.000,0.044,0.609,23.0 
08025,0.029,0.002,0,0.000,0.063,0.222,33.5 
08027,0.073,0.000,0,0.000,0.033,0.260,25.2 
08029,0.042,0.002,0,0.000,0.024,0.243,25.2 
08031,0.067,0.001,1,0.001,0.001,0.737,34.7 
08033,0.004,0.000,0,0.000,-0.008,0.193,25.5 
08035,0.082,0.001,1,0.001,0.016,0.366,31.7 
08037,0.010,0.000,0,0.000,0.017,0.559,20.6 
08039,0.046,0.000,1,0.000,0.044,0.196,31.2 
08041,0.135,0.001,1,0.001,0.060,0.339,32.2 
08043,0.045,0.001,0,0.000,0.048,0.241,28.6 
08045,0.077,0.001,0,0.000,0.022,0.426,23.4 
08047,0.047,0.000,1,0.000,0.043,0.457,25.2 
08049,0.022,0.000,0,0.000,0.044,0.391,19.1 
08051,0.050,0.000,0,0.000,0.036,0.545,17.8 
08053,0.035,0.000,0,0.000,-0.022,0.334,19.4 
08055,0.052,0.002,0,0.000,0.029,0.432,30.9 
08057,0.041,0.000,0,0.000,-0.020,0.199,18.7 
08059,0.097,0.001,1,0.001,0.027,0.489,31.8 
08061,0.030,0.002,0,0.000,0.070,0.106,34.3 
08063,0.072,0.001,0,0.000,0.060,0.145,34.0 
08065,0.046,0.000,0,0.000,0.047,0.505,17.4 
08067,0.017,0.001,0,0.000,0.031,0.498,26.0 
08069,0.059,0.001,1,0.001,0.019,0.475,26.9 
08071,0.049,0.001,1,0.001,0.019,0.390,34.4 
08073,0.063,0.001,0,0.000,0.076,0.168,32.3 
08075,0.037,0.003,0,0.000,0.034,0.190,32.9 
08077,0.090,0.001,0,0.000,0.057,0.280,25.8 
08079,0.042,0.001,0,0.000,0.014,0.363,20.0 
08081,0.015,0.002,0,0.000,0.001,0.134,22.2 
08083,0.029,0.001,0,0.000,0.025,0.309,29.5 
08085,0.050,0.001,0,0.000,0.029,0.258,26.5 
08087,0.048,0.003,0,0.000,0.058,0.263,33.9 
08089,0.023,0.003,0,0.000,0.030,0.348,35.0 
08091,0.048,0.001,0,0.000,0.025,0.513,22.6 
08093,0.046,0.000,1,0.000,0.043,0.328,21.0 
08095,0.028,0.003,0,0.000,0.043,0.187,32.0 
08097,0.044,0.000,1,0.000,0.013,0.697,20.0 
08099,0.023,0.002,0,0.000,0.026,0.236,35.7 
08101,0.134,0.002,0,0.000,0.080,0.456,35.2 
08103,0.008,0.000,0,0.000,-0.001,0.126,22.6 
08105,0.025,0.001,0,0.000,0.024,0.362,17.7 
08107,0.063,0.001,1,0.001,0.033,0.543,20.9 
08109,0.073,0.001,0,0.000,0.045,0.500,18.0 
08111,0.051,0.000,0,0.000,0.053,0.524,20.4 
08113,0.031,0.000,1,0.000,0.026,0.687,25.8 
08115,0.000,0.001,0,0.000,0.040,0.196,31.3 
08117,0.042,0.000,0,0.000,0.039,0.591,18.8 
08119,0.043,0.001,1,0.001,0.042,0.249,24.6 
08121,0.111,0.002,0,0.000,0.024,0.108,33.0 
08123,0.057,0.001,1,0.001,0.023,0.343,32.3 
08125,0.033,0.002,0,0.000,0.043,0.152,33.6 
09001,0.095,0.002,1,0.002,-0.012,0.579,34.5 
09003,0.081,0.002,1,0.002,0.012,0.591,32.8 
09005,0.129,0.001,0,0.000,0.015,0.408,30.4 
09007,0.095,0.002,1,0.002,0.018,0.512,34.0 
09009,0.134,0.002,1,0.002,0.008,0.542,33.4 
09011,0.110,0.001,1,0.001,0.019,0.504,35.2 
09013,0.098,0.001,1,0.001,-0.011,0.497,32.7 
09015,0.106,0.001,1,0.001,0.024,0.429,33.3 
10001,0.084,0.002,0,0.000,0.040,0.447,39.7 
10003,0.092,0.001,1,0.001,-0.005,0.621,38.4 
10005,0.090,0.002,1,0.002,0.006,0.371,41.6 
11001,0.039,0.001,1,0.001,0.025,0.909,0.0 
12001,0.086,0.001,1,0.001,0.055,0.590,59.1 
12003,0.035,0.002,1,0.002,0.035,0.167,56.8 
12005,0.075,0.002,0,0.000,0.021,0.249,58.2 
12007,0.022,0.002,0,0.000,0.040,0.242,58.6 
12009,0.087,0.001,1,0.001,0.028,0.380,64.1 
12011,0.080,0.001,1,0.001,0.026,0.665,68.8 
12013,0.041,0.003,0,0.000,0.042,0.204,57.4 
12015,0.085,0.002,0,0.000,0.024,0.347,65.4 
12017,0.123,0.002,0,0.000,0.041,0.286,60.7 
12019,0.075,0.001,1,0.001,0.034,0.261,60.3 
12021,0.069,0.001,1,0.001,-0.010,0.358,67.4 
12023,0.096,0.002,1,0.002,0.021,0.265,55.9 
12027,0.063,0.002,0,0.000,0.055,0.350,64.4 
12029,0.049,0.001,0,0.000,-0.006,0.176,57.8 
12031,0.095,0.001,1,0.001,0.040,0.475,59.7 
12033,0.082,0.002,1,0.002,0.038,0.377,55.3 
12035,0.047,0.001,1,0.001,0.041,0.383,61.3 
12037,0.053,0.001,1,0.001,0.022,0.290,58.1 
12039,0.054,0.002,1,0.002,0.030,0.679,56.3 
12041,0.037,0.002,1,0.002,0.021,0.173,57.9 
12043,0.043,0.001,0,0.000,0.034,0.292,65.1 
12045,0.050,0.003,0,0.000,0.021,0.236,58.6 
12047,0.035,0.001,1,0.001,0.045,0.349,55.0 
12049,0.038,0.001,0,0.000,0.029,0.283,63.8 
12051,0.044,0.001,0,0.000,0.066,0.415,66.2 
12053,0.134,0.002,1,0.002,0.060,0.339,61.8 
12055,0.099,0.003,0,0.000,0.039,0.327,64.1 
12057,0.093,0.001,1,0.001,0.031,0.515,64.0 
12059,0.034,0.002,0,0.000,0.028,0.100,55.6 
12061,0.086,0.002,1,0.002,0.007,0.363,64.7 
12063,0.054,0.003,0,0.000,0.007,0.304,56.6 
12065,-0.006,0.002,1,0.002,0.039,0.463,56.8 
12067,0.075,0.003,1,0.003,0.036,0.153,56.6 
12069,0.075,0.001,1,0.001,0.049,0.369,62.2 
12071,0.071,0.001,1,0.001,-0.005,0.383,66.5 
12073,0.091,0.001,1,0.001,0.022,0.605,56.6 
12075,0.030,0.001,0,0.000,0.046,0.263,60.1 
12077,0.009,0.002,0,0.000,0.049,0.198,57.4 
12079,0.022,0.002,0,0.000,0.018,0.415,56.1 
12081,0.070,0.001,1,0.001,0.015,0.398,64.0 
12083,0.075,0.002,1,0.002,0.063,0.355,60.4 
12085,0.081,0.002,1,0.002,0.018,0.352,67.3 
12086,0.059,0.002,1,0.002,0.019,0.637,69.6 
12087,0.028,0.001,0,0.000,0.026,0.447,69.8 
12089,0.065,0.001,1,0.001,0.049,0.233,58.3 
12091,0.111,0.001,0,0.000,0.061,0.236,54.2 
12093,0.081,0.002,0,0.000,0.051,0.290,64.9 
12095,0.072,0.001,1,0.001,0.029,0.604,63.4 
12097,0.050,0.001,1,0.001,0.050,0.610,63.8 
12099,0.071,0.002,1,0.002,0.020,0.566,68.2 
12101,0.127,0.001,1,0.001,0.052,0.374,62.8 
12103,0.118,0.001,1,0.001,0.038,0.475,64.2 
12105,0.091,0.001,1,0.001,0.043,0.413,63.6 
12107,0.133,0.001,0,0.000,0.087,0.305,60.7 
12109,0.062,0.001,1,0.001,0.028,0.316,61.5 
12111,0.067,0.002,1,0.002,0.035,0.475,66.1 
12113,0.113,0.001,1,0.001,0.060,0.210,54.6 
12115,0.092,0.001,1,0.001,0.019,0.427,64.3 
12117,0.093,0.001,1,0.001,0.041,0.471,63.1 
12119,0.040,0.002,0,0.000,0.052,0.295,61.4 
12121,0.021,0.003,0,0.000,0.032,0.212,55.8 
12123,0.052,0.002,0,0.000,0.025,0.232,57.6 
12125,-0.014,0.005,0,0.000,0.063,0.178,57.1 
12127,0.080,0.001,1,0.001,0.062,0.418,62.1 
12129,0.040,0.001,1,0.001,0.033,0.283,57.3 
12131,0.071,0.001,1,0.001,0.045,0.204,55.4 
12133,0.050,0.001,0,0.000,0.047,0.203,57.1 
13001,0.028,0.003,0,0.000,0.032,0.205,54.6 
13003,0.046,0.002,1,0.002,0.071,0.267,54.7 
13005,0.030,0.003,0,0.000,0.055,0.151,54.9 
13007,-0.012,0.002,0,0.000,0.036,0.451,54.2 
13009,0.039,0.002,0,0.000,0.047,0.495,51.2 
13011,0.058,0.002,0,0.000,0.048,0.098,46.9 
13013,0.121,0.001,1,0.001,0.063,0.226,47.0 
13015,0.085,0.002,1,0.002,0.057,0.208,45.8 
13017,0.015,0.004,1,0.004,0.031,0.354,53.9 
13019,0.037,0.002,0,0.000,0.028,0.159,54.2 
13021,0.070,0.002,0,0.000,0.071,0.588,51.8 
13023,0.035,0.003,0,0.000,0.024,0.221,53.1 
13025,0.046,0.001,0,0.000,0.042,0.098,55.7 
13027,0.045,0.003,0,0.000,0.031,0.399,54.8 
13029,-0.033,0.001,1,0.001,0.030,0.265,55.8 
13031,-0.009,0.001,0,0.000,0.042,0.366,54.2 
13033,0.050,0.002,1,0.002,0.054,0.506,53.0 
13035,0.049,0.003,1,0.003,0.062,0.270,49.3 
13037,0.016,0.002,0,0.000,0.066,0.582,53.5 
13039,0.073,0.001,0,0.000,0.038,0.314,57.2 
13043,0.037,0.005,1,0.005,0.046,0.273,53.9 
13045,0.120,0.002,1,0.002,0.063,0.282,46.9 
13047,0.111,0.001,1,0.001,0.075,0.178,46.0 
13049,0.075,0.002,0,0.000,0.045,0.250,56.8 
13051,0.064,0.001,1,0.001,0.035,0.555,56.4 
13053,0.017,0.000,1,0.000,-0.029,0.427,51.5 
13055,0.047,0.002,0,0.000,0.068,0.195,46.0 
13057,0.086,0.001,1,0.001,0.047,0.225,45.5 
13059,0.108,0.001,0,0.000,0.084,0.658,47.4 
13061,0.018,0.001,0,0.000,0.044,0.548,52.9 
13063,0.106,0.001,1,0.001,0.120,0.842,48.0 
13065,0.021,0.003,0,0.000,0.033,0.279,54.8 
13067,0.087,0.001,1,0.001,0.038,0.484,46.9 
13069,0.035,0.003,0,0.000,0.036,0.294,54.3 
13071,0.029,0.002,0,0.000,0.036,0.254,54.1 
13073,0.084,0.001,1,0.001,0.027,0.292,51.6 
13075,0.037,0.002,0,0.000,0.042,0.289,54.2 
13077,0.083,0.001,1,0.001,0.052,0.269,47.9 
13079,0.048,0.001,0,0.000,0.043,0.275,51.5 
13081,0.011,0.002,1,0.002,0.034,0.378,53.3 
13083,0.041,0.001,1,0.001,0.050,0.155,44.8 
13085,0.056,0.001,1,0.001,0.063,0.123,44.6 
13087,0.053,0.002,1,0.002,0.024,0.401,55.4 
13089,0.093,0.001,1,0.001,0.041,0.799,47.4 
13091,0.049,0.004,0,0.000,0.033,0.262,53.8 
13093,0.024,0.003,0,0.000,0.016,0.485,53.0 
13095,0.006,0.003,1,0.003,0.020,0.684,53.9 
13097,0.133,0.001,1,0.001,0.057,0.537,47.2 
13099,0.027,0.004,1,0.004,0.051,0.453,54.1 
13101,0.026,0.001,0,0.000,0.104,0.132,54.6 
13103,0.002,0.001,1,0.001,0.030,0.207,54.7 
13105,0.025,0.003,0,0.000,0.046,0.318,47.5 
13107,0.033,0.003,0,0.000,0.043,0.310,53.3 
13109,0.044,0.002,1,0.002,0.029,0.313,54.5 
13111,0.060,0.002,0,0.000,0.057,0.163,42.1 
13113,0.053,0.001,1,0.001,0.026,0.382,48.1 
13115,0.097,0.002,1,0.002,0.086,0.265,46.2 
13117,0.081,0.001,1,0.001,0.017,0.239,45.6 
13119,0.054,0.002,0,0.000,0.050,0.146,46.8 
13121,0.061,0.001,1,0.001,0.022,0.689,47.2 
13123,0.053,0.002,1,0.002,0.057,0.154,43.0 
13125,0.064,0.004,0,0.000,0.072,0.099,51.2 
13127,0.071,0.002,1,0.002,0.015,0.344,56.5 
13129,0.051,0.002,0,0.000,0.055,0.168,45.5 
13131,0.031,0.002,0,0.000,0.030,0.327,55.3 
13133,0.051,0.002,0,0.000,0.045,0.361,48.8 
13135,0.088,0.001,1,0.001,0.043,0.506,46.6 
13137,0.053,0.003,1,0.003,0.058,0.153,45.1 
13139,0.090,0.002,0,0.000,0.032,0.229,46.1 
13141,0.057,0.007,0,0.000,0.013,0.754,50.4 
13143,0.065,0.002,1,0.002,0.077,0.130,46.6 
13145,0.030,0.001,1,0.001,0.031,0.248,49.3 
13147,0.043,0.002,0,0.000,0.044,0.256,47.2 
13149,0.054,0.001,1,0.001,0.068,0.176,47.6 
13151,0.105,0.001,1,0.001,0.071,0.507,48.4 
13153,0.065,0.001,0,0.000,0.045,0.375,52.6 
13155,0.037,0.003,0,0.000,0.026,0.243,53.9 
13157,0.083,0.002,0,0.000,0.043,0.165,47.0 
13159,0.059,0.002,1,0.002,0.061,0.255,49.7 
13161,0.043,0.003,0,0.000,0.039,0.177,54.0 
13163,0.035,0.004,0,0.000,0.047,0.548,51.9 
13165,0.073,0.004,0,0.000,0.059,0.367,53.4 
13167,0.035,0.004,0,0.000,0.068,0.308,52.6 
13169,0.043,0.001,0,0.000,0.034,0.316,51.0 
13171,0.064,0.002,1,0.002,0.060,0.298,49.7 
13173,0.046,0.001,0,0.000,0.027,0.281,54.2 
13175,0.038,0.003,1,0.003,0.039,0.346,53.4 
13177,0.025,0.002,0,0.000,0.029,0.224,53.6 
13179,0.021,0.001,0,0.000,0.022,0.592,55.9 
